c,family,n_directions,nf4_mean_abs,bf16_mean_abs
0.02,probe,1,0.7879083298369655,0.7948256979335301
0.02,rand,2,0.13907058974845904,0.13011134932441795
0.02,shuf,3,0.13595150560657335,0.1373348016160915
0.02,top,3,0.21570178104219595,0.18842044317484583
0.05,probe,1,0.9711587878717921,0.9770689694012662
0.05,rand,4,0.3441102296144828,0.35949794571046495
0.05,shuf,3,0.36605898676026666,0.3735279204540111
0.05,top,3,0.4351588462024922,0.4425271470705005
