layer,dir,mode,c,swing,n_trials,n_pairs
23,rand6,contrastive,0.05,-0.3334250805859623,240,120
23,rand7,contrastive,0.02,0.031962418944046715,240,120
23,rand7,contrastive,0.05,-0.100392105671423,240,120
23,shuf0,contrastive,0.02,-0.0921930593881772,240,120
23,shuf0,contrastive,0.05,-0.43534697265180566,240,120
23,shuf0,contrastive+natsd,0.02,-0.12390187940600715,240,120
23,shuf0,contrastive+natsd,0.05,-0.5151373208798163,240,120
23,shuf1,contrastive,0.02,-0.03909199294269698,240,120
23,shuf1,contrastive,0.05,-0.3347101528244315,240,120
23,shuf1,contrastive+natsd,0.02,-0.049942456104317114,240,120
23,shuf1,contrastive+natsd,0.05,-0.3301893111145317,240,120
23,shuf2,contrastive,0.02,0.27656946448884584,240,120
23,shuf2,contrastive,0.05,0.3281198348045629,240,120
23,shuf2,contrastive+natsd,0.02,0.3612507833930979,240,120
23,shuf2,contrastive+natsd,0.05,0.08795144049635896,240,120
23,top0,contrastive,0.02,0.21786554813960754,240,120
23,top0,contrastive,0.05,0.5219471257120397,240,120
23,top0,contrastive+natsd,0.02,0.06584716734263117,240,120
23,top0,contrastive+natsd,0.05,0.222968780474513,240,120
23,top1,contrastive,0.02,-0.09881793825549837,240,120
23,top1,contrastive,0.05,0.08734578451786686,240,120
23,top1,contrastive+natsd,0.02,-0.031014271724056654,240,120
23,top1,contrastive+natsd,0.05,-0.051961559728925306,240,120
23,top2,contrastive,0.02,0.330421856731482,240,120
23,top2,contrastive,0.05,0.6961836283775698,240,120
23,top2,contrastive+natsd,0.02,0.08482726159229058,240,120
23,top2,contrastive+natsd,0.05,0.18309870602548978,240,120
26,probe,contrastive,0.02,0.5506716472906549,240,120
26,probe,contrastive,0.04,0.7366282067922882,240,120
26,probe,contrastive,0.05,0.7388737285522492,240,120
26,probe,contrastive,0.06,0.7186112096106897,240,120
26,rand0,contrastive,0.05,0.25166463415381474,240,120
26,rand0,contrastive,0.06,0.27014687864888853,240,120
26,rand1,contrastive,0.05,-0.012804710010209771,240,120
26,rand1,contrastive,0.06,-0.038424878019985294,240,120
29,probe,contrastive,0.02,0.20157415824309635,240,120
29,probe,contrastive,0.04,0.2652911985667601,240,120
29,probe,contrastive,0.05,0.24571304620169424,240,120
29,probe,contrastive,0.06,0.1719658571824679,240,120
29,rand0,contrastive,0.05,-0.00425213819547081,240,120
29,rand0,contrastive,0.06,0.010463474245367026,240,120
29,rand1,contrastive,0.05,-0.012951810888680481,240,120
29,rand1,contrastive,0.06,-0.009778391924146016,240,120
32,probe,contrastive,0.02,0.07780612984468711,240,120
32,probe,contrastive,0.04,0.13076547597304525,240,120
32,probe,contrastive,0.05,0.14961723935661048,240,120
32,probe,contrastive,0.06,0.1609644002745494,240,120
32,rand0,contrastive,0.05,0.08218669527197991,240,120
32,rand0,contrastive,0.06,0.09696597044773902,240,120
32,rand1,contrastive,0.05,-0.013495243215393783,240,120
32,rand1,contrastive,0.06,-0.015967280124958533,240,120
35,probe,contrastive,0.05,0.02242602662110904,240,120
38,probe,contrastive,0.05,0.004634160099527574,240,120
41,probe,contrastive,0.05,-0.003228213590416294,240,120
44,probe,contrastive,0.05,0.002200105482438516,240,120
47,probe,contrastive,0.05,-0.005728522261072466,240,120
50,probe,contrastive,0.05,-0.015794939865628542,240,120
53,probe,contrastive,0.05,-0.009926303049458811,240,120
56,probe,contrastive,0.05,-0.0021247758786380844,240,120
59,probe,contrastive,0.05,0.0007404549639694947,240,120
