layer,r_eval,r_train,r_eval_shuffled,alpha,r_proj_eval,n_train,n_eval
17,0.7945081222788828,0.9012662035368499,0.2113838917510435,3162.2776601683795,0.7945081225555364,2000,993
20,0.8235653460805077,0.9142309549377887,0.1815579758204167,3162.2776601683795,0.8235653460418565,2000,993
23,0.8585635115321785,0.9334811573784583,0.16533113267943075,3162.2776601683795,0.8585635114456076,2000,993
26,0.8836670628948258,0.9471976608614814,0.16142920507131675,3162.2776601683795,0.883667062838517,2000,993
29,0.8837415808804424,0.9506414600439311,0.13087298211066747,3162.2776601683795,0.8837415809499874,2000,993
