layer,r_eval,r_train,r_eval_shuffled,alpha,r_proj_eval,n_train,n_eval
0,0.6359559516719002,0.8518270564322943,0.12980644562605556,1000.0,0.635955951476724,2000,993
1,0.6706814606575549,0.7554860346028927,0.1389561660872491,3162.2776601683795,0.6706814606131823,2000,993
2,0.6662778396913765,0.7715878872972821,0.14272277759008925,3162.2776601683795,0.6662778396199632,2000,993
3,0.6512453401015166,0.7529569016805554,0.1560490511399876,3162.2776601683795,0.6512453402710016,2000,993
4,0.6498011798123502,0.7561094587219076,0.15797569607375264,3162.2776601683795,0.6498011796025212,2000,993
5,0.6680555868630571,0.7796520776711162,0.18035401470591783,3162.2776601683795,0.6680555867267728,2000,993
6,0.6955622645620287,0.8092514664505027,0.18600896457289542,3162.2776601683795,0.6955622643966781,2000,993
7,0.6966033598033733,0.8067159468509066,0.17957569813931518,3162.2776601683795,0.6966033596031632,2000,993
8,0.7171346562735297,0.816368728363983,0.22646664847516212,3162.2776601683795,0.7171346562576053,2000,993
9,0.7323635535756428,0.8325504083777553,0.23294315790507747,3162.2776601683795,0.7323635534569636,2000,993
10,0.7480649702862239,0.854557189961165,0.21142331778581147,3162.2776601683795,0.748064970093722,2000,993
11,0.7522538193020643,0.8685587399245562,0.2060403569354664,3162.2776601683795,0.7522538193841136,2000,993
12,0.7532900589293026,0.8749760498855867,0.213754783313932,3162.2776601683795,0.7532900591135393,2000,993
13,0.7646229221091173,0.8860775124866496,0.22075288408167648,3162.2776601683795,0.7646229222390228,2000,993
14,0.7695388159252712,0.8872726070209409,0.2266756640563543,3162.2776601683795,0.769538815956074,2000,993
15,0.7734565331626471,0.8929542303237596,0.23682830398455668,3162.2776601683795,0.7734565331121069,2000,993
16,0.7795087596719781,0.892487693414572,0.23253605770418698,3162.2776601683795,0.7795087596871002,2000,993
17,0.7952679705511506,0.9011203016484624,0.20737921961701275,3162.2776601683795,0.7952679705489154,2000,993
18,0.8029694937862283,0.9059481855126406,0.21114128996967105,3162.2776601683795,0.8029694937986672,2000,993
19,0.8161339279396309,0.9109197975321903,0.18221290573467608,3162.2776601683795,0.8161339280236858,2000,993
20,0.8233296078239024,0.9137149747148324,0.17721329627209764,3162.2776601683795,0.8233296078253314,2000,993
21,0.8270693671735396,0.9519939396689352,0.15958880786907728,1000.0,0.827069367157072,2000,993
22,0.8449502668431289,0.9252160964754785,0.15742952593002127,3162.2776601683795,0.844950266890174,2000,993
23,0.8584379582312103,0.9341692691257705,0.16525480796467426,3162.2776601683795,0.8584379581962593,2000,993
24,0.8639442608622262,0.9381251306431346,0.14871672154430643,3162.2776601683795,0.8639442607101058,2000,993
25,0.8751734055000937,0.945111988981488,0.16487709454520408,3162.2776601683795,0.8751734056179494,2000,993
26,0.8843471078232965,0.9481859528169473,0.17283153579029611,3162.2776601683795,0.8843471078305838,2000,993
27,0.8830242379008432,0.9504820300974446,0.15635572263523395,3162.2776601683795,0.8830242378718767,2000,993
28,0.8835593228339517,0.9520828281394869,0.16508801104390242,3162.2776601683795,0.8835593229483657,2000,993
29,0.8836311170784724,0.9515362344091529,0.13641036210659233,3162.2776601683795,0.883631117004215,2000,993
30,0.8886630996012197,0.9526385219691247,0.1302549720972156,3162.2776601683795,0.8886630995597374,2000,993
31,0.8872016375315912,0.953339994379197,0.13559860628500459,3162.2776601683795,0.887201637603566,2000,993
32,0.8864204137870205,0.9535103953542519,0.14442008835329695,3162.2776601683795,0.8864204137045745,2000,993
33,0.8851674820636097,0.954026347488399,0.1535865754418708,3162.2776601683795,0.8851674820083313,2000,993
34,0.8829071957420599,0.9537424985156584,0.14963677010619691,3162.2776601683795,0.8829071957567669,2000,993
35,0.8817451343723826,0.9534740879216932,0.1565092568018708,3162.2776601683795,0.8817451345004548,2000,993
36,0.8794855243277903,0.9522021152509013,0.16383999241393263,3162.2776601683795,0.8794855242544876,2000,993
37,0.8799899799773068,0.9515799641548041,0.16348524930436203,3162.2776601683795,0.8799899801197982,2000,993
38,0.8817534669041924,0.9498396689152524,0.17717498889468483,3162.2776601683795,0.8817534668985058,2000,993
39,0.8822018306000187,0.9486169277626932,0.17277802786046614,3162.2776601683795,0.8822018306911261,2000,993
40,0.8819719347312928,0.9483230828411936,0.16271083045464624,3162.2776601683795,0.8819719346806815,2000,993
41,0.8798409333170663,0.9469159451118914,0.15899977620745964,3162.2776601683795,0.8798409333037996,2000,993
